Num_Acc,id_vehicule,num_veh,place,catu,sexe,trajet,secu1,secu2,secu3,locp,actp,etatp,year_acc,victim_age,senc,catv,obs,obsm,choc,manv,motor,occutc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,jour,mois,an,hrmn,lum,dep,com,agg_,int,atm,col,adr,lat,long,hour,nb_victim,nb_vehicules
202100012497,179Â 368,A01,1,1,1,0,2,0,-1,-1, -1,-1,2021,28.0,0,1,0,2,1,26,1,,4,COMMANDANT RAYNAL (RUE),0,,1,1,0,1,1,0,1,, -1,1,0,1,50,18,10,2021,13:55,1,93,93049,2,2,0,3,COMMANDANT RAYNAL (RUE),48.857046,2.501449,13,2,2
202100022541,161Â 337,A01,1,1,1,1,2,6,-1,0,0,-1,2021,57.0,3,1,0,2,6,11,1,,4,,-1,,1,2,0,1,(1),(1),2,, -1,1,0,1,50,21,8,2021,18:55,1,6,6085,2,6,0,3,Avenue Saint Martin,43.608069,6.984569,18,2,2
202100004911,193Â 009,B01,2,2,2,5,8,0,-1,0,0,-1,2021,14.0,2,1,0,4,3,19,3,,4,BOULEVARD D INDOCHINE,0,,2,4,0,2,(1),(1),1,, -1,2,0,6,50,3,12,2021,20:50,5,75,75119,2,7,1,1,BOULEVARD D INDOCHINE,48.886275,2.396332,20,3,2
202100028321,151Â 072,A01,1,1,1,1,2,0,-1,0,0,-1,2021,22.0,1,1,0,2,2,1,1,,4,RUE DE DUNKERQUE,0,,1,2,0,1,(1),(1),1,, -1,1,0,1,30,18,7,2021,20:40,1,75,75110,2,2,0,3,RUE DE DUNKERQUE,48.88024,2.353651,20,2,2
202100012667,179Â 074,A01,1,1,1,5,2,6,0,0,0,-1,2021,17.0,2,1,0,2,4,2,1,,4,CHEVREFEUILLES (CHEMIN DES),0,,2,2,0,2,(1),(1),3,, -1,1,0,1,50,17,10,2021,02:00,5,6,6069,2,1,0,2,CHEVREFEUILLES (CHEMIN DES),43.640659,6.917758,2,2,2
202100055289,102Â 993,A01,1,1,1,4,1,-1,-1,-1, -1,-1,2021,30.0,2,2,0,2,7,1,1,,3,LIBERATION (RUE DE LA ),0,,2,2,0,1,87,808,1,, -1,2,0,1,70,11,1,2021,19:20,5,76,76296,1,1,1,1,Rue de la LibÃ©ration,49.5179562255,0.2561685629,19,2,2
202100017303,170Â 722,A01,4,2,1,5,8,-1,-1,0,0,-1,2021,24.0,1,2,15,0,1,14,1,,3,D23,0,,2,2,0,1,8,752,3,, -1,1,2,4,50,26,9,2021,08:25,1,66,66217,2,1,0,6,8 Avenue du Stade,42.613354,2.810818,8,3,1
202100003692,195Â 154,A01,10,3,2,0,0,-1,-1,3,3,1,2021,20.0,3,5,0,1,1,15,1,,3,JUIN (BOULEVARD MARECHAL),0,,3,4,0,1,1,0,1,, -1,1,0,8,50,9,12,2021,13:28,1,14,14118,2,3,0,6,JEAN BAPTISTE COLBERT (RUE),49.21027,-0.367541,13,2,1
202100049812,112Â 711,A01,1,1,1,5,1,-1,-1,0,0,-1,2021,57.0,3,2,0,0,9,1,1,,4,,0,,2,2,0,1,(1),(1),1,, -1,1,0,3,80,28,2,2021,17:20,1,21,21122,1,1,0,7,route communale,47.556821,4.539006,17,1,1
202100045373,120Â 627,A01,1,1,2,9,2,6,-1,-1, -1,-1,2021,26.0,2,1,12,0,8,21,1,,3,BAYONNE (AVENUE DE),0,,3,4,3,1,9,410,1,, -1,1,0,1,50,1,4,2021,15:45,1,64,64024,2,9,0,7,BAYONNE (AVENUE DE),43.48115,-1.51121,15,1,1
202100042321,125Â 975,B01,1,1,2,5,2,6,-1,-1, -1,-1,2021,18.0,3,1,0,2,1,1,1,,3,ENCORE (BOULEVAR D'),0,,2,2,0,1,0,961,1,, -1,2,0,1,50,27,4,2021,16:35,1,31,31483,2,6,1,3,ENCORE (BOULEVAR D'),43.1157,0.73755,16,2,2
202100037405,134Â 802,B01,1,1,1,5,8,0,-1,-1, -1,-1,2021,23.0,1,1,0,2,2,1,5,,4,ANATOLE FRANCE                      (BD),0,,1,1,0,1,(1),(1),1,, -1,1,0,1,30,30,5,2021,15:49,1,69,69386,2,2,0,1,ANATOLE FRANCE                      (BD),45.77075,4.85693,15,2,2
202100023280,160Â 004,A01,10,3,2,0,0,-1,-1,3,3,1,2021,78.0,0,2,0,1,1,26,1,,7,BOULEVARD MENDES FRANCE,0,,2,2,0,2,(1),(1),1,, -1,1,0,1,30,20,8,2021,13:45,1,44,44114,2,1,0,6,BOULEVARD MENDES FRANCE,47.2609,-1.5881,13,2,1
202100051504,109Â 635,B01,1,1,1,1,2,6,-1,-1, -1,-1,2021,43.0,2,1,0,2,1,1,1,,3,BEAUSEJOUR JAMBETTE (ROUTE DE ),0,,2,2,0,1,1,50,3,, -1,1,0,1,30,14,2,2021,04:45,2,972,97209,1,1,0,1,BEAUSEJOUR JAMBETTE (ROUTE DE ),14.6361,-61.04004,4,2,2
